基金代码,基金名称,场内价格,场内涨幅(%),估算净值,估算涨幅(%),溢价率(%),套利信号,状态
163407,兴全沪深300指数(LOF)A,2.7410,0.44%,2.7288,-0.13%,0.45,无明显机会,T-1:2.7323 v_index_full_no_cash
163408,兴全沪深300指数(LOF)A(后端),,,,,,,异常: 'NoneTyp
163409,兴全绿色投资混合(LOF),1.4830,-0.87%,1.4932,-0.12%,-0.68,无明显机会,T-1:1.4950 v_index_blend
163412,兴全轻资产混合(LOF),4.2930,1.49%,4.2747,-0.12%,0.43,无明显机会,T-1:4.2800 v_index_blend
163415,兴全商业模式混合(LOF)A,5.4290,0.65%,5.4223,-0.12%,0.12,无明显机会,T-1:5.4290 v_index_blend
163416,兴全商业模式混合(LOF)A(后端),,,,,,,异常: 'NoneTyp
163417,兴全合宜混合(LOF)A,2.1220,0.24%,2.1365,0.00%,-0.68,无明显机会,T-1:2.1365 v_top10
163503,天治核心成长混合(LOF),0.4420,-0.90%,0.4355,0.00%,1.49,溢价卖出(申购转场内),T-1:0.4355 v_top10
163801,中银中国混合(LOF)A,0.8860,-5.14%,0.8836,0.00%,0.27,无明显机会,T-1:0.8836 v_top10
164508,国富中证A100指数增强(LOF),1.3480,0.97%,1.3552,-0.13%,-0.53,无明显机会,T-1:1.3570 v_index_full_no_cash
164606,华泰柏瑞信用增利债(LOF)A,1.2430,0.00%,1.2477,0.00%,-0.38,无明显机会,T-1:1.2477 v_top10
164703,汇添富纯债(LOF)A,0.8690,-0.11%,0.8691,0.00%,-0.01,无明显机会,T-1:0.8691 v_top10
164905,交银国证新能源指数(LOF)A,1.0000,0.00%,1.0626,-0.13%,-5.89,折价买入(转场内赎回),T-1:1.0640 v_index_full_no_cash
164906,交银中证海外中国互联网指数(LOF)A,0.9510,-2.26%,0.9786,-0.13%,-2.82,折价买入(转场内赎回),T-1:0.9799 v_index_full_no_cash
164908,交银中证环境治理(LOF)A,1.0000,0.00%,0.4288,-0.13%,133.19,溢价卖出(申购转场内),T-1:0.4294 v_index_full_no_cash
165309,建信沪深300指数(LOF),1.9800,1.02%,1.9836,-0.13%,-0.18,无明显机会,T-1:1.9862 v_index_full_no_cash
165310,建信沪深300指数增强(LOF)A,1.0000,0.00%,1.4971,-0.13%,-33.20,折价买入(转场内赎回),T-1:1.4990 v_index_full_no_cash
165312,建信央视财经50指数(LOF),1.0000,0.00%,1.4377,-0.13%,-30.45,折价买入(转场内赎回),T-1:1.4396 v_index_full_no_cash
165313,建信优势动力混合(LOF),4.3300,1.17%,4.2897,-0.12%,0.94,无明显机会,T-1:4.2950 v_index_blend
165508,中信保诚深度价值混合(LOF),2.1420,1.81%,2.1448,-0.12%,-0.13,无明显机会,T-1:2.1474 v_index_blend
165511,中信保诚中证500指数(LOF)A,2.1910,1.06%,2.1942,-0.13%,-0.14,无明显机会,T-1:2.1970 v_index_full_no_cash
165512,中信保诚新机遇混合(LOF),1.2520,0.40%,1.2632,-0.12%,-0.89,无明显机会,T-1:1.2648 v_index_blend
165515,中信保诚沪深300指数(LOF)A,1.3300,0.08%,1.3329,-0.13%,-0.22,无明显机会,T-1:1.3346 v_index_full_no_cash
165516,中信保诚周期轮动混合(LOF)A,7.7110,0.61%,7.7044,-0.12%,0.09,无明显机会,T-1:7.7139 v_index_blend
165519,中信保诚中证800医药指数(LOF)A,1.0660,0.00%,1.0666,-0.13%,-0.06,无明显机会,T-1:1.0680 v_index_full_no_cash
165520,中信保诚中证800有色指数(LOF)A,2.6700,4.30%,2.5771,-0.13%,3.61,溢价卖出(申购转场内),T-1:2.5804 v_index_full_no_cash
165521,中信保诚中证800金融指数(LOF)A,1.2460,0.24%,1.2449,-0.13%,0.09,无明显机会,T-1:1.2465 v_index_full_no_cash
165522,中信保诚中证TMT(LOF)A,1.4980,2.04%,1.4868,-0.13%,0.76,无明显机会,T-1:1.4887 v_index_full_no_cash
165523,中信保诚中证信息安全指数(LOF)A,1.0000,0.00%,0.7686,-0.13%,30.11,溢价卖出(申购转场内),T-1:0.7696 v_index_full_no_cash
165524,中信保诚中证智能家居指数(LOF)A,1.0000,0.00%,1.3480,-0.13%,-25.81,折价买入(转场内赎回),T-1:1.3497 v_index_full_no_cash
165525,中信保诚中证基建工程指数(LOF)A,0.6980,0.58%,0.6957,-0.13%,0.33,无明显机会,T-1:0.6966 v_index_full_no_cash
165526,中信保诚新旺混合(LOF)A,1.0000,0.00%,1.6113,0.00%,-37.94,折价买入(转场内赎回),失败
165528,中信保诚鼎利混合(LOF)A,2.8240,0.93%,2.8175,-0.12%,0.23,无明显机会,失败
165531,中信保诚多策略混合(LOF)A,1.0000,0.00%,1.9483,0.00%,-48.67,折价买入(转场内赎回),失败
166006,中欧行业成长混合(LOF)A,2.3950,0.76%,2.3948,-0.12%,0.01,无明显机会,失败
166009,中欧新动力混合(LOF)A,3.3200,0.00%,3.3356,-0.12%,-0.47,无明显机会,失败
166011,中欧盛世成长混合(LOF)A,1.7390,-1.75%,1.7646,-0.12%,-1.45,折价买入(转场内赎回),失败
166023,中欧瑞丰灵活配置混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
166107,信澳量化多因子混合(LOF)A,1.3360,-1.98%,1.3518,0.00%,-1.17,折价买入(转场内赎回),失败
166109,信澳量化先锋(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
166802,浙商沪深300指数增强(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
167001,平安鼎泰混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
167002,平安鼎越混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
167003,平安鼎弘混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
167302,方正富邦大湾区综指(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
167504,安信中短利率债(LOF)A,,,,,,,异常: 'NoneTyp
167506,安信深圳科技指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
167508,安信价值发现两年定开混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
167702,德邦量化优选股票(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
168101,九泰锐智事件驱动混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
168102,九泰锐富事件驱动混合发起式(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
168103,九泰锐益混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
168104,九泰锐丰灵活配置混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
168105,九泰泰富灵活配置混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
168203,国联国证钢铁行业指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
168204,国联中证煤炭指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
168301,东海祥龙(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
168401,红土精选混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
168701,合煦智远金融科技指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
169104,东方红睿满沪港深混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
169105,东方红睿华沪港深混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501001,财通多策略精选混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501005,汇添富中证精准医疗指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501007,汇添富中证互联网医疗指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501009,汇添富中证生物科技指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501011,汇添富中证中药ETF联接(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501015,财通多策略升级混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501016,国泰中证申万证券行业指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501017,国泰融丰外延增长混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501019,国泰国证航天军工指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501021,华宝港股通标普香港上市中国中小盘指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501022,银华鑫盛灵活配置混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501025,鹏华中证香港银行指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501026,财通多策略福享混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501028,财通多策略福瑞混合发起式(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501029,华宝标普中国A股红利机会ETF联接A(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501030,汇添富中证环境治理指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501032,财通福盛混合发起(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501036,汇添富中证500ETF联接(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501043,汇添富沪深300指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501047,汇添富中证全指证券公司ETF联接(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501051,圆信永丰汇利混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501057,汇添富中证新能源汽车产业指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501060,中金中证优选300指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501062,南方瑞合定开混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501064,国泰价值优选灵活配置混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501071,泓德丰泽混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501073,华安智联混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501075,万家科创主题灵活配置混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501076,鹏华创新动力混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501077,富国创新企业灵活配置混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501078,广发科创主题灵活配置混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501079,大成科创主题混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501080,中金科创主题灵活配置混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501081,中欧科创主题混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501082,博时科创主题灵活配置混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501083,银华科创主题灵活配置混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501085,财通科创主题灵活配置混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501087,交银瑞丰混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501089,方正富邦消费红利指数增强(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501091,嘉实欣荣混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501092,交银瑞思混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501095,中银证券科技创新混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501096,国联安科创混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501097,国寿安保科技创新混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501098,建信优享科技创新混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501099,平安新兴产业混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501100,博时安康定开债(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501186,华夏兴融混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501188,汇添富核心精选混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501189,嘉实产业优选混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,T-1:0.9518 v_index_blend
501200,民生加银科技创新混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501201,红土创新科技创新股票(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501203,易方达创新未来混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501206,汇添富创新未来混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,T-1:0.9679 v_top10
501207,华夏创新未来混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501208,中欧创新未来混合(LOF),0.0000,0.00%,0.0000,0.00%,0.00,数据不足,T-1:1.3862 v_top10
501209,银华富久食品饮料精选混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501219,华夏智胜先锋股票(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,T-1:1.5676 v_top10
501227,泓德红利优选混合(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,失败
501301,华宝港股通恒生中国(香港上市)30ETF联接(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,T-1:1.2203 v_index_full_no_cash
501302,南方恒指ETF联接(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,T-1:1.1390 v_index_full_no_cash
501303,广发恒生中型股指数(LOF)A,0.0000,0.00%,0.0000,0.00%,0.00,数据不足,T-1:0.9616 v_index_full_no_cash
502000,西部利得中证500指数增强(LOF)A,2.0060,-1.04%,2.0009,-0.13%,0.25,无明显机会,T-1:2.0035 v_index_full_no_cash
502003,易方达中证军工(LOF)A,1.3370,0.45%,1.3378,-0.13%,-0.06,无明显机会,T-1:1.3395 v_index_full_no_cash
502006,易方达中证国企改革(LOF)A,1.5820,0.00%,1.5897,-0.13%,-0.49,无明显机会,T-1:1.5918 v_index_full_no_cash
502010,易方达中证全指证券公司指数(LOF)A,1.2830,-0.85%,1.2971,-0.13%,-1.09,折价买入(转场内赎回),T-1:1.2988 v_index_full_no_cash
502013,长盛中证申万一带一路指数(LOF),1.3820,0.14%,1.3915,-0.13%,-0.68,无明显机会,T-1:1.3933 v_index_full_no_cash
502023,鹏华国证钢铁行业指数(LOF)A,1.5250,0.66%,1.4933,-0.13%,2.13,溢价卖出(申购转场内),T-1:1.4952 v_index_full_no_cash
502048,易方达上证50指数(LOF)A,1.2840,-0.16%,1.2728,-0.13%,0.88,无明显机会,T-1:1.2744 v_index_full_no_cash
502053,长盛中证证券公司指数(LOF)A,1.1060,0.27%,1.1138,-0.13%,-0.70,无明显机会,T-1:1.1152 v_index_full_no_cash
502056,广发中证医疗ETF联接(LOF)A,0.6470,-0.15%,0.6496,-0.13%,-0.39,无明显机会,T-1:0.6504 v_index_full_no_cash
